"startingID"	"Freq"
"1"	"3000"	29
"2"	"3005"	4883
"3"	"3006"	2708
"4"	"3007"	2785
"5"	"3008"	2156
"6"	"3009"	56
"7"	"3010"	427
"8"	"3011"	1257
"9"	"3014"	4571
"10"	"3016"	1953
"11"	"3018"	1211
"12"	"3019"	1910
"13"	"3020"	528
"14"	"3021"	1254
"15"	"3022"	3893
"16"	"3023"	1980
"17"	"3024"	1646
"18"	"3025"	626
"19"	"3026"	1562
"20"	"3027"	2557
"21"	"3028"	1179
"22"	"3029"	1902
"23"	"3030"	5059
"24"	"3031"	4629
"25"	"3032"	2466
"26"	"3033"	709
"27"	"3034"	3037
"28"	"3035"	3406
"29"	"3036"	1153
"30"	"3037"	1174
"31"	"3038"	3306
"32"	"3039"	115
"33"	"3040"	1023
"34"	"3042"	4015
"35"	"3045"	187
"36"	"3046"	1348
"37"	"3047"	2230
"38"	"3048"	3005
"39"	"3049"	3154
"40"	"3051"	2062
"41"	"3052"	2253
"42"	"3053"	13
"43"	"3054"	865
"44"	"3055"	3270
"45"	"3056"	1461
"46"	"3057"	380
"47"	"3058"	1808
"48"	"3059"	742
"49"	"3060"	383
"50"	"3062"	2325
"51"	"3063"	2949
"52"	"3064"	4661
"53"	"3065"	992
"54"	"3066"	1425
"55"	"3067"	3797
"56"	"3068"	3252
"57"	"3069"	5138
"58"	"3074"	2341
"59"	"3075"	2125
"60"	"3076"	1903
"61"	"3077"	802
"62"	"3078"	879
"63"	"3079"	693
"64"	"3080"	191
"65"	"3081"	593
"66"	"3082"	3908
"67"	"4108"	108
